hodnota,vek_kod,vuzemi_kod,casref_do,vek_txt,vuzemi_txt
27333,5-9,3093,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Pardubický kraj
25748,5-9,3107,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Kraj Vysočina
63116,5-9,3115,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Jihomoravský kraj
32030,5-9,3123,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Olomoucký kraj
28511,5-9,3131,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Zlínský kraj
59565,5-9,3140,2019-12-31,5 až 10 (více nebo rovno 5 a méně než 10),Moravskoslezský kraj
102314,45-49,3018,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Hlavní město Praha
113245,45-49,3026,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Středočeský kraj
49832,45-49,3034,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Jihočeský kraj
46510,45-49,3042,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Plzeňský kraj
23722,45-49,3051,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Karlovarský kraj
66980,45-49,3069,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Ústecký kraj
35670,45-49,3077,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Liberecký kraj
43067,45-49,3085,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Královéhradecký kraj
40724,45-49,3093,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Pardubický kraj
38979,45-49,3107,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Kraj Vysočina
90734,45-49,3115,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Jihomoravský kraj
48950,45-49,3123,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Olomoucký kraj
45181,45-49,3131,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Zlínský kraj
93370,45-49,3140,2019-12-31,45 až 50 (více nebo rovno 45 a méně než 50),Moravskoslezský kraj
126122,40-44,3018,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Hlavní město Praha
129443,40-44,3026,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Středočeský kraj
53627,40-44,3034,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Jihočeský kraj
50517,40-44,3042,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Plzeňský kraj
24360,40-44,3051,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Karlovarský kraj
69525,40-44,3069,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Ústecký kraj
38119,40-44,3077,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Liberecký kraj
45546,40-44,3085,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Královéhradecký kraj
44450,40-44,3093,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Pardubický kraj
41155,40-44,3107,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Kraj Vysočina
102364,40-44,3115,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Jihomoravský kraj
53484,40-44,3123,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Olomoucký kraj
48180,40-44,3131,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Zlínský kraj
96554,40-44,3140,2019-12-31,40 až 45 (více nebo rovno 40 a méně než 45),Moravskoslezský kraj
114251,35-39,3018,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Hlavní město Praha
102595,35-39,3026,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Středočeský kraj
43568,35-39,3034,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Jihočeský kraj
42452,35-39,3042,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Plzeňský kraj
19254,35-39,3051,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Karlovarský kraj
55492,35-39,3069,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Ústecký kraj
30549,35-39,3077,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Liberecký kraj
35859,35-39,3085,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Královéhradecký kraj
35353,35-39,3093,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Pardubický kraj
33904,35-39,3107,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Kraj Vysočina
88757,35-39,3115,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Jihomoravský kraj
42622,35-39,3123,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Olomoucký kraj
39002,35-39,3131,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Zlínský kraj
79340,35-39,3140,2019-12-31,35 až 40 (více nebo rovno 35 a méně než 40),Moravskoslezský kraj
28760,30-34,3077,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Liberecký kraj
108645,30-34,3018,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Hlavní město Praha
90111,30-34,3026,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Středočeský kraj
41013,30-34,3034,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Jihočeský kraj
40230,30-34,3042,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Plzeňský kraj
18991,30-34,3051,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Karlovarský kraj
52641,30-34,3069,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Ústecký kraj
34454,30-34,3085,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Královéhradecký kraj
34134,30-34,3093,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Pardubický kraj
32388,30-34,3107,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Kraj Vysočina
83085,30-34,3115,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Jihomoravský kraj
40521,30-34,3123,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Olomoucký kraj
37283,30-34,3131,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Zlínský kraj
79871,30-34,3140,2019-12-31,30 až 35 (více nebo rovno 30 a méně než 35),Moravskoslezský kraj
82699,25-29,3018,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Hlavní město Praha
78697,25-29,3026,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Středočeský kraj
39308,25-29,3034,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Jihočeský kraj
35720,25-29,3042,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Plzeňský kraj
17662,25-29,3051,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Karlovarský kraj
50002,25-29,3069,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Ústecký kraj
26874,25-29,3077,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Liberecký kraj
32951,25-29,3085,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Královéhradecký kraj
32638,25-29,3093,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Pardubický kraj
32096,25-29,3107,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Kraj Vysočina
73462,25-29,3115,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Jihomoravský kraj
38665,25-29,3123,2019-12-31,25 až 30 (více nebo rovno 25 a méně než 30),Olomoucký kraj
